"Date","Municipality","Trip Duration","Membership Type","No of Trips","Miles Travelled"
"10/1/2013","Alexandria, VA","<0.5 hr","24-hr Pass","207","0"
"10/1/2013","Alexandria, VA","<0.5 hr","Annual","1669","2134"
"10/1/2013","Alexandria, VA","0.5 - 1 hr","24-hr Pass","86","0"
"10/1/2013","Alexandria, VA","0.5 - 1 hr","Annual","57","0"
"10/1/2013","Alexandria, VA","1 - 1.5 hr","24-hr Pass","70","0"
"10/1/2013","Alexandria, VA","1 - 1.5 hr","Annual","13","0"
"10/1/2013","Alexandria, VA","1.5 - 2 hr","24-hr Pass","29","0"
"10/1/2013","Alexandria, VA","1.5 - 2 hr","Annual","6","0"
"10/1/2013","Alexandria, VA","2 - 3 hr","24-hr Pass","16","0"
"10/1/2013","Alexandria, VA","2 - 3 hr","Annual","4","0"
"10/1/2013","Alexandria, VA","3 - 4 hr","24-hr Pass","4","0"
"10/1/2013","Alexandria, VA","3 - 4 hr","Annual","0","0"
"10/1/2013","Alexandria, VA","4 - 5 hr","24-hr Pass","2","0"
"10/1/2013","Alexandria, VA","4 - 5 hr","Annual","2","0"
"10/1/2013","Alexandria, VA","5 - 24 hr","24-hr Pass","3","0"
"10/1/2013","Alexandria, VA","5 - 24 hr","Annual","0","0"
"10/1/2013","Arlington, VA","<0.5 hr","24-hr Pass","1758","0"
"10/1/2013","Arlington, VA","<0.5 hr","Annual","15312","19852"
"10/1/2013","Arlington, VA","0.5 - 1 hr","24-hr Pass","487","0"
"10/1/2013","Arlington, VA","0.5 - 1 hr","Annual","418","0"
"10/1/2013","Arlington, VA","1 - 1.5 hr","24-hr Pass","297","0"
"10/1/2013","Arlington, VA","1 - 1.5 hr","Annual","30","0"
"10/1/2013","Arlington, VA","1.5 - 2 hr","24-hr Pass","121","0"
"10/1/2013","Arlington, VA","1.5 - 2 hr","Annual","7","0"
"10/1/2013","Arlington, VA","2 - 3 hr","24-hr Pass","125","0"
"10/1/2013","Arlington, VA","2 - 3 hr","Annual","8","0"
"10/1/2013","Arlington, VA","3 - 4 hr","24-hr Pass","37","0"
"10/1/2013","Arlington, VA","3 - 4 hr","Annual","4","0"
"10/1/2013","Arlington, VA","4 - 5 hr","24-hr Pass","16","0"
"10/1/2013","Arlington, VA","4 - 5 hr","Annual","1","0"
"10/1/2013","Arlington, VA","5 - 24 hr","24-hr Pass","22","0"
"10/1/2013","Arlington, VA","5 - 24 hr","Annual","6","0"
"10/1/2013","Rest of Montgomery County","<0.5 hr","24-hr Pass","113","0"
"10/1/2013","Rest of Montgomery County","<0.5 hr","Annual","827","2384"
"10/1/2013","Rest of Montgomery County","0.5 - 1 hr","24-hr Pass","103","0"
"10/1/2013","Rest of Montgomery County","0.5 - 1 hr","Annual","118","0"
"10/1/2013","Rest of Montgomery County","1 - 1.5 hr","24-hr Pass","58","0"
"10/1/2013","Rest of Montgomery County","1 - 1.5 hr","Annual","18","0"
"10/1/2013","Rest of Montgomery County","1.5 - 2 hr","24-hr Pass","21","0"
"10/1/2013","Rest of Montgomery County","1.5 - 2 hr","Annual","7","0"
"10/1/2013","Rest of Montgomery County","2 - 3 hr","24-hr Pass","8","0"
"10/1/2013","Rest of Montgomery County","2 - 3 hr","Annual","4","0"
"10/1/2013","Rest of Montgomery County","3 - 4 hr","24-hr Pass","6","0"
"10/1/2013","Rest of Montgomery County","3 - 4 hr","Annual","2","0"
"10/1/2013","Rest of Montgomery County","4 - 5 hr","24-hr Pass","4","0"
"10/1/2013","Rest of Montgomery County","4 - 5 hr","Annual","3","0"
"10/1/2013","Rest of Montgomery County","5 - 24 hr","24-hr Pass","3","0"
"10/1/2013","Rest of Montgomery County","5 - 24 hr","Annual","2","0"
