"Year","Month","Station Name","Municipality","Departures","Arrivals"
"2014","Jul","20th & Bell St","Arlington, VA","146","129"
"2014","Jul","18th & Eads St.","Arlington, VA","291","260"
"2014","Jul","20th & Crystal Dr","Arlington, VA","643","778"
"2014","Jul","15th & Crystal Dr","Arlington, VA","606","600"
"2014","Jul","S Joyce & Army Navy Dr","Arlington, VA","521","532"
"2014","Jul","Crystal City Metro / 18th & Bell St","Arlington, VA","1300","918"
"2014","Jul","12th & Army Navy Dr","Arlington, VA","356","364"
"2014","Jul","27th & Crystal Dr","Arlington, VA","621","710"
"2014","Jul","S Glebe & Potomac Ave","Arlington, VA","476","544"
"2014","Jul","23rd & Crystal Dr","Arlington, VA","547","779"
"2014","Jul","23rd & Eads St","Arlington, VA","269","262"
"2014","Jul","Lynn & 19th St North","Arlington, VA","1392","1904"
"2014","Jul","Rosslyn Metro / Wilson Blvd & Ft Myer Dr","Arlington, VA","881","1157"
"2014","Jul","Clarendon Blvd & Pierce St","Arlington, VA","538","394"
"2014","Jul","Court House Metro / Wilson Blvd & N Uhle St","Arlington, VA","1177","850"
"2014","Jul","N Rhodes & 16th St N","Arlington, VA","290","220"
"2014","Jul","Wilson Blvd & N Edgewood St","Arlington, VA","342","307"
"2014","Jul","Wilson Blvd & Franklin Rd","Arlington, VA","518","443"
"2014","Jul","Clarendon Blvd & N Fillmore St","Arlington, VA","457","345"
"2014","Jul","Clarendon Metro / Wilson Blvd & N Highland St","Arlington, VA","566","519"
"2014","Jul","Fairfax Dr & Wilson Blvd","Arlington, VA","455","417"
"2014","Jul","Virginia Square Metro / N Monroe St & 9th St N","Arlington, VA","780","616"
"2014","Jul","Central Library / N Quincy St & 10th St N","Arlington, VA","335","313"
"2014","Jul","Washington Blvd & 10th St N","Arlington, VA","323","233"
"2014","Jul","Key Blvd & N Quinn St","Arlington, VA","254","195"
"2014","Jul","N Veitch & Key Blvd","Arlington, VA","382","243"
"2014","Jul","N Veitch  & 20th St N","Arlington, VA","430","352"
"2014","Jul","N Adams St & Lee Hwy","Arlington, VA","564","453"
"2014","Jul","15th & N Scott St","Arlington, VA","387","345"
"2014","Jul","Washington Blvd & 7th St N","Arlington, VA","137","115"
"2014","Jul","Wilson Blvd & N Oakland St","Arlington, VA","227","165"
"2014","Jul","N Randolph St & Fairfax Dr","Arlington, VA","430","388"
"2014","Jul","N Quincy St & Glebe Rd","Arlington, VA","245","203"
"2014","Jul","George Mason Dr & Wilson Blvd","Arlington, VA","245","217"
"2014","Jul","Ballston Metro / N Stuart & 9th St N","Arlington, VA","721","623"
"2014","Jul","Glebe Rd & 11th St N","Arlington, VA","258","220"
"2014","Jul","N Quincy St & Wilson Blvd","Arlington, VA","567","511"
"2014","Jul","Fairfax Dr & Kenmore St","Arlington, VA","258","193"
"2014","Jul","Prince St & Union St","Alexandria, VA","419","601"
"2014","Jul","Market Square / King St & Royal St","Alexandria, VA","402","523"
"2014","Jul","Saint Asaph St & Pendleton  St","Alexandria, VA","361","384"
"2014","Jul","King St & Patrick St","Alexandria, VA","323","376"
"2014","Jul","Commerce St & Fayette St","Alexandria, VA","185","208"
"2014","Jul","Henry St & Pendleton St","Alexandria, VA","138","130"
"2014","Jul","Braddock Rd Metro","Alexandria, VA","441","367"
"2014","Jul","King St Metro","Alexandria, VA","697","575"
"2014","Jul","Utah St & 11th St N ","Arlington, VA","257","212"
"2014","Jul","Barton St & 10th St N","Arlington, VA","247","211"
"2014","Jul","Arlington Blvd & N Queen St","Arlington, VA","241","225"
"2014","Jul","Potomac Ave & 35th St S","Arlington, VA","239","282"
"2014","Jul","Columbia Pike & S Courthouse Rd","Arlington, VA","162","163"
"2014","Jul","Walter Reed Community Center / Walter Reed Dr & 16th St S","Arlington, VA","51","39"
"2014","Jul","28th St S & S Meade St","Arlington, VA","98","143"
"2014","Jul","S Troy St & 26th St S","Arlington, VA","99","101"
"2014","Jul","S Four Mile Run Dr & S Shirlington Rd","Arlington, VA","144","153"
"2014","Jul","S Oakland St & Columbia Pike","Arlington, VA","30","46"
"2014","Jul","S Abingdon St & 36th St S","Arlington, VA","19","14"
"2014","Jul","S Arlington Mill Dr & Campbell Ave","Arlington, VA","240","271"
"2014","Jul","S Kenmore & 24th St S","Arlington, VA","10","12"
"2014","Jul","S George Mason Dr & 13th St S","Arlington, VA","7","14"
"2014","Jul","S George Mason Dr & Four Mile Run","Arlington, VA","120","117"
"2014","Jul","S Stafford & 34th St S","Arlington, VA","34","28"
"2014","Jul","N Pershing Dr & Wayne St","Arlington, VA","271","222"
"2014","Jul","Columbia Pike & S Orme St","Arlington, VA","115","117"
"2014","Jul","Columbia Pike & S Walter Reed Dr","Arlington, VA","165","153"
"2014","Jul","Columbia Pike & S Dinwiddie St / Arlington Mill Community Center","Arlington, VA","66","85"
"2014","Jul","Pershing & N George Mason Dr","Arlington, VA","268","249"
"2014","Jul","Arlington Blvd & Fillmore St","Arlington, VA","76","96"
"2014","Jul","Long Bridge Park/Long Bridge Dr & 6th St S","Arlington, VA","142","178"
"2014","Jul","31st & Woodrow St S","Arlington, VA","56","25"
"2014","Jul","Washington Blvd & Walter Reed Dr ","Arlington, VA","114","128"
"2014","Jul","Rolfe St & 9th St S","Arlington, VA","71","55"
"2014","Jul","Shirlington Transit Center / S Quincy & Randolph St","Arlington, VA","60","84"
"2014","Jul","Iwo Jima Memorial/N Meade & 14th St N","Arlington, VA","973","1101"
"2014","Jul","Lee Hwy & N Cleveland St","Arlington, VA","63","52"
"2014","Jul","19th St & Pennsylvania Ave NW","Washington, DC","1346","1235"
"2014","Jul","14th & V St NW","Washington, DC","3339","3673"
"2014","Jul","11th & Kenyon St NW","Washington, DC","2141","1580"
"2014","Jul","16th & Harvard St NW","Washington, DC","2496","1264"
"2014","Jul","Adams Mill & Columbia Rd NW","Washington, DC","2689","2184"
"2014","Jul","14th & Harvard St NW","Washington, DC","2191","1477"
"2014","Jul","Calvert & Biltmore St NW","Washington, DC","749","380"
"2014","Jul","Lamont & Mt Pleasant NW","Washington, DC","1833","1478"
"2014","Jul","4th & M St SW","Washington, DC","2170","2692"
"2014","Jul","7th & T St NW","Washington, DC","2196","2221"
"2014","Jul","20th St & Florida Ave NW","Washington, DC","2734","2692"
